Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
DanaOpenDenomSuites,,,,2023-06-13 17:01:10,2023-06-13 17:01:39,29.083s,PASSED
,,,,,,,
Test Cases/GetTokenCase,,,,2023-06-13 17:01:11,2023-06-13 17:01:18,7.889s,PASSED
currentTime = ZonedDateTime.now(ZoneOffset.ofHours(7)),,,,2023-06-13 17:01:12,2023-06-13 17:01:12,0.055s,PASSED
"formatter = DateTimeFormatter.ofPattern(""yyyy-MM-dd'T'HH:mm:ssxxx"")",,,,2023-06-13 17:01:12,2023-06-13 17:01:12,0.025s,PASSED
formattedTimestamp = currentTime.format(formatter),,,,2023-06-13 17:01:12,2023-06-13 17:01:12,0.006s,PASSED
"println(""Timestamp: "" + formattedTimestamp)",,,,2023-06-13 17:01:12,2023-06-13 17:01:12,0.007s,PASSED
TIMESTAMP = formattedTimestamp,,,,2023-06-13 17:01:12,2023-06-13 17:01:13,0.757s,PASSED
"signatureResponse = sendRequest(findTestObject(""Postman/auth/GET SIGNATURE""))",,,,2023-06-13 17:01:13,2023-06-13 17:01:18,4.782s,PASSED
"signature = getElementPropertyValue(signatureResponse, ""signature"")",,,,2023-06-13 17:01:18,2023-06-13 17:01:18,0.159s,PASSED
"println(""signature is :"" + signature)",,,,2023-06-13 17:01:18,2023-06-13 17:01:18,0.004s,PASSED
AUTH_SIGNATURE = signature,,,,2023-06-13 17:01:18,2023-06-13 17:01:18,0.017s,PASSED
"tokenResponse = sendRequest(findTestObject(""Postman/auth/GET TOKEN"", [""TIMESTAMP1"":TIMESTAMP, ""AUTH_SIGNATURE1"":AUTH_SIGNATURE]))",,,,2023-06-13 17:01:18,2023-06-13 17:01:18,0.594s,PASSED
"verifyResponseStatusCode(tokenResponse, 200)",,,,2023-06-13 17:01:18,2023-06-13 17:01:18,0.034s,PASSED
"token = getElementPropertyValue(tokenResponse, ""accessToken"")",,,,2023-06-13 17:01:18,2023-06-13 17:01:18,0.060s,PASSED
"println(""Token is : "" + token)",,,,2023-06-13 17:01:18,2023-06-13 17:01:18,0.001s,PASSED
TOKEN = token,,,,2023-06-13 17:01:18,2023-06-13 17:01:18,0.000s,PASSED
,,,,,,,
Test Cases/InquiryDanaCase(Saving),,,,2023-06-13 17:01:18,2023-06-13 17:01:24,5.552s,PASSED
currentTime = ZonedDateTime.now(ZoneOffset.ofHours(7)),,,,2023-06-13 17:01:20,2023-06-13 17:01:20,0.004s,PASSED
"formatter = DateTimeFormatter.ofPattern(""MMdd"")",,,,2023-06-13 17:01:20,2023-06-13 17:01:20,0.003s,PASSED
formattedLocalDate = currentTime.format(formatter),,,,2023-06-13 17:01:20,2023-06-13 17:01:20,0.001s,PASSED
"println(""Local Date: "" + formattedLocalDate)",,,,2023-06-13 17:01:20,2023-06-13 17:01:20,0.003s,PASSED
localDate = formattedLocalDate,,,,2023-06-13 17:01:20,2023-06-13 17:01:20,0.005s,PASSED
