Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
GopayOpenDenomSuites,,,,2023-06-14 13:53:10,2023-06-14 13:53:36,25.890s,FAILED
,,,,,,,
Test Cases/GetTokenCase,,,,2023-06-14 13:53:11,2023-06-14 13:53:21,9.814s,PASSED
currentTime = ZonedDateTime.now(ZoneOffset.ofHours(7)),,,,2023-06-14 13:53:13,2023-06-14 13:53:13,0.063s,PASSED
"formatter = DateTimeFormatter.ofPattern(""yyyy-MM-dd'T'HH:mm:ssxxx"")",,,,2023-06-14 13:53:13,2023-06-14 13:53:13,0.027s,PASSED
formattedTimestamp = currentTime.format(formatter),,,,2023-06-14 13:53:13,2023-06-14 13:53:13,0.008s,PASSED
"println(""Timestamp: "" + formattedTimestamp)",,,,2023-06-14 13:53:13,2023-06-14 13:53:13,0.013s,PASSED
TIMESTAMP = formattedTimestamp,,,,2023-06-14 13:53:13,2023-06-14 13:53:14,0.833s,PASSED
"signatureResponse = sendRequest(findTestObject(""Postman/auth/GET SIGNATURE""))",,,,2023-06-14 13:53:14,2023-06-14 13:53:18,4.722s,PASSED
"signature = getElementPropertyValue(signatureResponse, ""signature"")",,,,2023-06-14 13:53:18,2023-06-14 13:53:18,0.175s,PASSED
"println(""signature is :"" + signature)",,,,2023-06-14 13:53:18,2023-06-14 13:53:18,0.001s,PASSED
AUTH_SIGNATURE = signature,,,,2023-06-14 13:53:18,2023-06-14 13:53:18,0.001s,PASSED
"tokenResponse = sendRequest(findTestObject(""Postman/auth/GET TOKEN"", [""TIMESTAMP1"":TIMESTAMP, ""AUTH_SIGNATURE1"":AUTH_SIGNATURE]))",,,,2023-06-14 13:53:18,2023-06-14 13:53:21,2.474s,PASSED
"verifyResponseStatusCode(tokenResponse, 200)",,,,2023-06-14 13:53:21,2023-06-14 13:53:21,0.042s,PASSED
"token = getElementPropertyValue(tokenResponse, ""accessToken"")",,,,2023-06-14 13:53:21,2023-06-14 13:53:21,0.079s,PASSED
"println(""Token is : "" + token)",,,,2023-06-14 13:53:21,2023-06-14 13:53:21,0.001s,PASSED
TOKEN = token,,,,2023-06-14 13:53:21,2023-06-14 13:53:21,0.001s,PASSED
,,,,,,,
Test Cases/InquiryGopayCase(Saving),,,,2023-06-14 13:53:21,2023-06-14 13:53:28,6.875s,PASSED
currentTime = ZonedDateTime.now(ZoneOffset.ofHours(7)),,,,2023-06-14 13:53:22,2023-06-14 13:53:22,0.005s,PASSED
"formatter = DateTimeFormatter.ofPattern(""MMdd"")",,,,2023-06-14 13:53:22,2023-06-14 13:53:22,0.003s,PASSED
formattedLocalDate = currentTime.format(formatter),,,,2023-06-14 13:53:22,2023-06-14 13:53:22,0.001s,PASSED
"println(""Local Date: "" + formattedLocalDate)",,,,2023-06-14 13:53:22,2023-06-14 13:53:22,0.002s,PASSED
localDate = formattedLocalDate,,,,2023-06-14 13:53:22,2023-06-14 13:53:22,0.001s,PASSED
currentTime1 = ZonedDateTime.now(ZoneOffset.ofHours(7)),,,,2023-06-14 13:53:22,2023-06-14 13:53:22,0.002s,PASSED
"formatter1 = DateTimeFormatter.ofPattern(""HHmmss"")",,,,2023-06-14 13:53:22,2023-06-14 13:53:22,0.002s,PASSED
formattedLocalTime = currentTime1.format(formatter1),,,,2023-06-14 13:53:22,2023-06-14 13:53:22,0.001s,PASSED
"println(""Local Time: "" + formattedLocalTime)",,,,2023-06-14 13:53:22,2023-06-14 13:53:22,0.001s,PASSED
localTime = formattedLocalTime,,,,2023-06-14 13:53:22,2023-06-14 13:53:22,0.001s,PASSED
formattedTransDateTime = formattedLocalDate + formattedLocalTime,,,,2023-06-14 13:53:22,2023-06-14 13:53:22,0.001s,PASSED
"println(""Trans Date Time: "" + formattedTransDateTime)",,,,2023-06-14 13:53:22,2023-06-14 13:53:22,0.002s,PASSED
transDateTime = formattedTransDateTime,,,,2023-06-14 13:53:22,2023-06-14 13:53:22,0.002s,PASSED
currentTime2 = ZonedDateTime.now(ZoneOffset.ofHours(7)),,,,2023-06-14 13:53:22,2023-06-14 13:53:22,0.004s,PASSED
"formatter2 = DateTimeFormatter.ofPattern(""MMdd"")",,,,2023-06-14 13:53:22,2023-06-14 13:53:22,0.002s,PASSED
formattedSettlementDate = plusDays(1).format(formatter2),,,,2023-06-14 13:53:22,2023-06-14 13:53:22,0.005s,PASSED
"println(""SettlementDate: "" + formattedSettlementDate)",,,,2023-06-14 13:53:22,2023-06-14 13:53:22,0.002s,PASSED
settlementDate = formattedSettlementDate,,,,2023-06-14 13:53:22,2023-06-14 13:53:22,0.002s,PASSED
currentTime3 = ZonedDateTime.now(ZoneOffset.ofHours(7)),,,,2023-06-14 13:53:22,2023-06-14 13:53:22,0.003s,PASSED
"formatter3 = DateTimeFormatter.ofPattern(""yyMMddHHmmss"")",,,,2023-06-14 13:53:22,2023-06-14 13:53:22,0.002s,PASSED
formattedReferenceNumber = currentTime3.format(formatter3),,,,2023-06-14 13:53:22,2023-06-14 13:53:22,0.004s,PASSED
"println(""Reference Number: "" + formattedReferenceNumber)",,,,2023-06-14 13:53:22,2023-06-14 13:53:22,0.001s,PASSED
referenceNumber = formattedReferenceNumber,,,,2023-06-14 13:53:22,2023-06-14 13:53:22,0.001s,PASSED
"signatureResponse = sendRequest(findTestObject(""Postman/emoney/opendenom Success/Saving/GET SIGNATURE SERVICE -  emoney gopay open denom inquiry""))",,,,2023-06-14 13:53:22,2023-06-14 13:53:23,0.817s,PASSED
"signature = getElementPropertyValue(signatureResponse, ""signature"")",,,,2023-06-14 13:53:23,2023-06-14 13:53:23,0.043s,PASSED
"println(""signature service is :"" + signature)",,,,2023-06-14 13:53:23,2023-06-14 13:53:23,0.001s,PASSED
SERVICE_SIGNATURE = signature,,,,2023-06-14 13:53:23,2023-06-14 13:53:23,0.001s,PASSED
"danaInquiryResponse = sendRequest(findTestObject(""Postman/emoney/opendenom Success/Saving/gopay inquiry""))",,,,2023-06-14 13:53:23,2023-06-14 13:53:28,4.401s,PASSED
"RC = getElementPropertyValue(danaInquiryResponse, ""responseCode"")",,,,2023-06-14 13:53:28,2023-06-14 13:53:28,0.061s,PASSED
"println(""RC is : "" + RC)",,,,2023-06-14 13:53:28,2023-06-14 13:53:28,0.002s,PASSED
"transactionData = getElementPropertyValue(danaInquiryResponse, ""transactionData"")",,,,2023-06-14 13:53:28,2023-06-14 13:53:28,0.096s,PASSED
transactionData = transactionData,,,,2023-06-14 13:53:28,2023-06-14 13:53:28,0.002s,PASSED
"println(""transaction data is : "" + transactionData)",,,,2023-06-14 13:53:28,2023-06-14 13:53:28,0.002s,PASSED
"nationalPmtData = getElementPropertyValue(danaInquiryResponse, ""nationalPmtData"")",,,,2023-06-14 13:53:28,2023-06-14 13:53:28,0.108s,PASSED
nationalPmtData1 = nationalPmtData,,,,2023-06-14 13:53:28,2023-06-14 13:53:28,0.002s,PASSED
"replacedNationalPmtData = nationalPmtData1.replaceAll("""""", ""\\"""")",,,,2023-06-14 13:53:28,2023-06-14 13:53:28,0.012s,PASSED
nationalPmtData = replacedNationalPmtData,,,,2023-06-14 13:53:28,2023-06-14 13:53:28,0.003s,PASSED
"println(""National Payment Data is : "" + replacedNationalPmtData)",,,,2023-06-14 13:53:28,2023-06-14 13:53:28,0.001s,PASSED
"verifyResponseStatusCode(danaInquiryResponse, 200)",,,,2023-06-14 13:53:28,2023-06-14 13:53:28,0.012s,PASSED
,,,,,,,
Test Cases/PaymentGopayCase(Saving),,,,2023-06-14 13:53:28,2023-06-14 13:53:31,3.452s,FAILED
currentTime = ZonedDateTime.now(ZoneOffset.ofHours(7)),,,,2023-06-14 13:53:30,2023-06-14 13:53:30,0.003s,PASSED
