Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
ShopeePayOpenDenomSuites,,,,2023-06-14 14:20:30,2023-06-14 14:21:05,34.498s,FAILED
,,,,,,,
Test Cases/GetTokenCase,,,,2023-06-14 14:20:31,2023-06-14 14:20:40,9.406s,PASSED
currentTime = ZonedDateTime.now(ZoneOffset.ofHours(7)),,,,2023-06-14 14:20:32,2023-06-14 14:20:32,0.069s,PASSED
"formatter = DateTimeFormatter.ofPattern(""yyyy-MM-dd'T'HH:mm:ssxxx"")",,,,2023-06-14 14:20:32,2023-06-14 14:20:32,0.033s,PASSED
formattedTimestamp = currentTime.format(formatter),,,,2023-06-14 14:20:32,2023-06-14 14:20:32,0.006s,PASSED
"println(""Timestamp: "" + formattedTimestamp)",,,,2023-06-14 14:20:32,2023-06-14 14:20:32,0.009s,PASSED
TIMESTAMP = formattedTimestamp,,,,2023-06-14 14:20:32,2023-06-14 14:20:33,0.896s,PASSED
"signatureResponse = sendRequest(findTestObject(""Postman/auth/GET SIGNATURE""))",,,,2023-06-14 14:20:33,2023-06-14 14:20:39,6.233s,PASSED
"signature = getElementPropertyValue(signatureResponse, ""signature"")",,,,2023-06-14 14:20:39,2023-06-14 14:20:39,0.138s,PASSED
"println(""signature is :"" + signature)",,,,2023-06-14 14:20:39,2023-06-14 14:20:39,0.001s,PASSED
AUTH_SIGNATURE = signature,,,,2023-06-14 14:20:39,2023-06-14 14:20:39,0.001s,PASSED
"tokenResponse = sendRequest(findTestObject(""Postman/auth/GET TOKEN"", [""TIMESTAMP1"":TIMESTAMP, ""AUTH_SIGNATURE1"":AUTH_SIGNATURE]))",,,,2023-06-14 14:20:39,2023-06-14 14:20:40,0.531s,PASSED
"verifyResponseStatusCode(tokenResponse, 200)",,,,2023-06-14 14:20:40,2023-06-14 14:20:40,0.035s,PASSED
"token = getElementPropertyValue(tokenResponse, ""accessToken"")",,,,2023-06-14 14:20:40,2023-06-14 14:20:40,0.054s,PASSED
"println(""Token is : "" + token)",,,,2023-06-14 14:20:40,2023-06-14 14:20:40,0.002s,PASSED
TOKEN = token,,,,2023-06-14 14:20:40,2023-06-14 14:20:40,0.001s,PASSED
,,,,,,,
Test Cases/InquiryShopeePayCase(Saving),,,,2023-06-14 14:20:40,2023-06-14 14:20:48,7.986s,PASSED
currentTime = ZonedDateTime.now(ZoneOffset.ofHours(7)),,,,2023-06-14 14:20:41,2023-06-14 14:20:41,0.004s,PASSED
"formatter = DateTimeFormatter.ofPattern(""MMdd"")",,,,2023-06-14 14:20:41,2023-06-14 14:20:41,0.003s,PASSED
formattedLocalDate = currentTime.format(formatter),,,,2023-06-14 14:20:41,2023-06-14 14:20:41,0.002s,PASSED
